SITE,PROV,BLOCK,TREE,S_MAT,S_MCMT,S_MAP,S_MSP,S_Latitude,S_Longitude,S_Elevation,P_MAT,P_MCMT,P_MAP,P_MSP,P_Elevation,P_Latitude,P_Longitude,Height,live
MID,4,3,7,1.9,-12.9,565,247,54.199481,-125.002,670,2,-9.4,610,222,937,54.22244159,-127.3522519,869.4844983,1
MID,4,3,2,1.9,-12.9,565,247,54.199481,-125.002,670,2,-9.4,610,222,937,54.22244159,-127.3522519,874.9082688,1
MID,4,4,1,1.9,-12.9,565,247,54.199481,-125.002,670,2,-9.4,610,222,937,54.22244159,-127.3522519,671.6710168,1
MID,4,4,8,1.9,-12.9,565,247,54.199481,-125.002,670,2,-9.4,610,222,937,54.22244159,-127.3522519,839.8773466,1
MID,4,4,4,1.9,-12.9,565,247,54.199481,-125.002,670,2,-9.4,610,222,937,54.22244159,-127.3522519,811.7171205,1
MID,4,4,5,1.9,-12.9,565,247,54.199481,-125.002,670,2,-9.4,610,222,937,54.22244159,-127.3522519,865.375607,1
MID,4,4,6,1.9,-12.9,565,247,54.199481,-125.002,670,2,-9.4,610,222,937,54.22244159,-127.3522519,846.2575592,1
MID,4,4,9,1.9,-12.9,565,247,54.199481,-125.002,670,2,-9.4,610,222,937,54.22244159,-127.3522519,819.7873115,1
MID,4,4,2,1.9,-12.9,565,247,54.199481,-125.002,670,2,-9.4,610,222,937,54.22244159,-127.3522519,739.3490627,1
MID,4,3,5,1.9,-12.9,565,247,54.199481,-125.002,670,2,-9.4,610,222,937,54.22244159,-127.3522519,818.5825985,1
MID,5,3,2,1.9,-12.9,565,247,54.199481,-125.002,670,1.4,-11.6,695,324,954,54.9074911,-120.3702764,805.9797032,1
MID,5,3,8,1.9,-12.9,565,247,54.199481,-125.002,670,1.4,-11.6,695,324,954,54.9074911,-120.3702764,863.6638614,1
MID,5,4,2,1.9,-12.9,565,247,54.199481,-125.002,670,1.4,-11.6,695,324,954,54.9074911,-120.3702764,815.1698395,1
MID,5,3,1,1.9,-12.9,565,247,54.199481,-125.002,670,1.4,-11.6,695,324,954,54.9074911,-120.3702764,862.2842446,1
MID,5,3,6,1.9,-12.9,565,247,54.199481,-125.002,670,1.4,-11.6,695,324,954,54.9074911,-120.3702764,854.7700938,1
MID,5,4,6,1.9,-12.9,565,247,54.199481,-125.002,670,1.4,-11.6,695,324,954,54.9074911,-120.3702764,856.061948,1
MID,5,4,1,1.9,-12.9,565,247,54.199481,-125.002,670,1.4,-11.6,695,324,954,54.9074911,-120.3702764,876.6488341,1
MID,5,4,4,1.9,-12.9,565,247,54.199481,-125.002,670,1.4,-11.6,695,324,954,54.9074911,-120.3702764,841.9734368,1
MID,5,4,5,1.9,-12.9,565,247,54.199481,-125.002,670,1.4,-11.6,695,324,954,54.9074911,-120.3702764,834.9305918,1
MID,5,3,7,1.9,-12.9,565,247,54.199481,-125.002,670,1.4,-11.6,695,324,954,54.9074911,-120.3702764,857.0035969,1
MID,5,3,3,1.9,-12.9,565,247,54.199481,-125.002,670,1.4,-11.6,695,324,954,54.9074911,-120.3702764,822.7231876,1
MID,5,3,4,1.9,-12.9,565,247,54.199481,-125.002,670,1.4,-11.6,695,324,954,54.9074911,-120.3702764,824.6845014,1
MID,5,3,5,1.9,-12.9,565,247,54.199481,-125.002,670,1.4,-11.6,695,324,954,54.9074911,-120.3702764,893.0739394,1
MID,5,4,3,1.9,-12.9,565,247,54.199481,-125.002,670,1.4,-11.6,695,324,954,54.9074911,-120.3702764,841.9734368,1
MID,5,4,9,1.9,-12.9,565,247,54.199481,-125.002,670,1.4,-11.6,695,324,954,54.9074911,-120.3702764,810.1135558,1
MID,5,3,9,1.9,-12.9,565,247,54.199481,-125.002,670,1.4,-11.6,695,324,954,54.9074911,-120.3702764,844.6402807,1
MID,5,4,7,1.9,-12.9,565,247,54.199481,-125.002,670,1.4,-11.6,695,324,954,54.9074911,-120.3702764,805.0822825,1
MID,5,4,8,1.9,-12.9,565,247,54.199481,-125.002,670,1.4,-11.6,695,324,954,54.9074911,-120.3702764,864.7458679,1
MID,6,3,9,1.9,-12.9,565,247,54.199481,-125.002,670,0.9,-14.8,476,278,792,56.13402989,-120.5954746,802.739501,1
MID,6,4,4,1.9,-12.9,565,247,54.199481,-125.002,670,0.9,-14.8,476,278,792,56.13402989,-120.5954746,881.7031311,1
MID,6,3,1,1.9,-12.9,565,247,54.199481,-125.002,670,0.9,-14.8,476,278,792,56.13402989,-120.5954746,869.2014135,1
MID,6,3,2,1.9,-12.9,565,247,54.199481,-125.002,670,0.9,-14.8,476,278,792,56.13402989,-120.5954746,852.8033781,1
MID,6,3,3,1.9,-12.9,565,247,54.199481,-125.002,670,0.9,-14.8,476,278,792,56.13402989,-120.5954746,841.5121516,1
MID,6,4,3,1.9,-12.9,565,247,54.199481,-125.002,670,0.9,-14.8,476,278,792,56.13402989,-120.5954746,771.0644508,1
MID,6,3,7,1.9,-12.9,565,247,54.199481,-125.002,670,0.9,-14.8,476,278,792,56.13402989,-120.5954746,777.4234878,1
MID,6,4,8,1.9,-12.9,565,247,54.199481,-125.002,670,0.9,-14.8,476,278,792,56.13402989,-120.5954746,862.1442143,1
MID,6,4,6,1.9,-12.9,565,247,54.199481,-125.002,670,0.9,-14.8,476,278,792,56.13402989,-120.5954746,812.9647427,1
MID,6,4,2,1.9,-12.9,565,247,54.199481,-125.002,670,0.9,-14.8,476,278,792,56.13402989,-120.5954746,846.9210886,1
MID,6,3,5,1.9,-12.9,565,247,54.199481,-125.002,670,0.9,-14.8,476,278,792,56.13402989,-120.5954746,839.1705778,1
MID,6,3,4,1.9,-12.9,565,247,54.199481,-125.002,670,0.9,-14.8,476,278,792,56.13402989,-120.5954746,843.3033744,1
MID,6,4,7,1.9,-12.9,565,247,54.199481,-125.002,670,0.9,-14.8,476,278,792,56.13402989,-120.5954746,841.8800333,1
MID,6,3,6,1.9,-12.9,565,247,54.199481,-125.002,670,0.9,-14.8,476,278,792,56.13402989,-120.5954746,804.1917048,1
MID,6,3,8,1.9,-12.9,565,247,54.199481,-125.002,670,0.9,-14.8,476,278,792,56.13402989,-120.5954746,859.6647393,1
MID,6,4,1,1.9,-12.9,565,247,54.199481,-125.002,670,0.9,-14.8,476,278,792,56.13402989,-120.5954746,841.5121516,1
MID,6,4,5,1.9,-12.9,565,247,54.199481,-125.002,670,0.9,-14.8,476,278,792,56.13402989,-120.5954746,810.5359052,1
MID,6,4,9,1.9,-12.9,565,247,54.199481,-125.002,670,0.9,-14.8,476,278,792,56.13402989,-120.5954746,871.8945634,1
MID,7,4,6,1.9,-12.9,565,247,54.199481,-125.002,670,1.5,-8.3,1013,244,1311,52.59697672,-125.6544499,689.5694073,1
MID,7,3,2,1.9,-12.9,565,247,54.199481,-125.002,670,1.5,-8.3,1013,244,1311,52.59697672,-125.6544499,680.6196463,1
MID,7,3,9,1.9,-12.9,565,247,54.199481,-125.002,670,1.5,-8.3,1013,244,1311,52.59697672,-125.6544499,687.9475305,1
MID,7,4,8,1.9,-12.9,565,247,54.199481,-125.002,670,1.5,-8.3,1013,244,1311,52.59697672,-125.6544499,679.8029791,1
MID,7,4,7,1.9,-12.9,565,247,54.199481,-125.002,670,1.5,-8.3,1013,244,1311,52.59697672,-125.6544499,721.2868742,1
MID,7,3,6,1.9,-12.9,565,247,54.199481,-125.002,670,1.5,-8.3,1013,244,1311,52.59697672,-125.6544499,673.5954734,1
MID,7,4,2,1.9,-12.9,565,247,54.199481,-125.002,670,1.5,-8.3,1013,244,1311,52.59697672,-125.6544499,674.3440467,1
MID,7,4,1,1.9,-12.9,565,247,54.199481,-125.002,670,1.5,-8.3,1013,244,1311,52.59697672,-125.6544499,564.871838,1
MID,7,4,3,1.9,-12.9,565,247,54.199481,-125.002,670,1.5,-8.3,1013,244,1311,52.59697672,-125.6544499,665.9788926,1
MID,7,4,4,1.9,-12.9,565,247,54.199481,-125.002,670,1.5,-8.3,1013,244,1311,52.59697672,-125.6544499,564.871838,1
MID,7,3,4,1.9,-12.9,565,247,54.199481,-125.002,670,1.5,-8.3,1013,244,1311,52.59697672,-125.6544499,716.9931217,1
MID,7,3,3,1.9,-12.9,565,247,54.199481,-125.002,670,1.5,-8.3,1013,244,1311,52.59697672,-125.6544499,731.2836893,1
MID,7,3,8,1.9,-12.9,565,247,54.199481,-125.002,670,1.5,-8.3,1013,244,1311,52.59697672,-125.6544499,731.0424187,1
MID,7,3,5,1.9,-12.9,565,247,54.199481,-125.002,670,1.5,-8.3,1013,244,1311,52.59697672,-125.6544499,752.4775232,1
MID,7,4,5,1.9,-12.9,565,247,54.199481,-125.002,670,1.5,-8.3,1013,244,1311,52.59697672,-125.6544499,645.7383948,1
MID,7,3,1,1.9,-12.9,565,247,54.199481,-125.002,670,1.5,-8.3,1013,244,1311,52.59697672,-125.6544499,737.5796024,1
MID,7,4,9,1.9,-12.9,565,247,54.199481,-125.002,670,1.5,-8.3,1013,244,1311,52.59697672,-125.6544499,676.892141,1
MID,7,3,7,1.9,-12.9,565,247,54.199481,-125.002,670,1.5,-8.3,1013,244,1311,52.59697672,-125.6544499,741.5796133,1
MID,9,3,6,1.9,-12.9,565,247,54.199481,-125.002,670,3.2,-9.7,463,195,518,54.71075951,-127.1382825,879.9738235,1
MID,9,4,4,1.9,-12.9,565,247,54.199481,-125.002,670,3.2,-9.7,463,195,518,54.71075951,-127.1382825,862.6875972,1
MID,9,3,3,1.9,-12.9,565,247,54.199481,-125.002,670,3.2,-9.7,463,195,518,54.71075951,-127.1382825,806.7228668,1
MID,9,4,5,1.9,-12.9,565,247,54.199481,-125.002,670,3.2,-9.7,463,195,518,54.71075951,-127.1382825,879.4432562,1
MID,9,3,8,1.9,-12.9,565,247,54.199481,-125.002,670,3.2,-9.7,463,195,518,54.71075951,-127.1382825,873.8705161,1
MID,9,4,3,1.9,-12.9,565,247,54.199481,-125.002,670,3.2,-9.7,463,195,518,54.71075951,-127.1382825,889.1808275,1
MID,9,3,4,1.9,-12.9,565,247,54.199481,-125.002,670,3.2,-9.7,463,195,518,54.71075951,-127.1382825,890.8194751,1
MID,9,3,2,1.9,-12.9,565,247,54.199481,-125.002,670,3.2,-9.7,463,195,518,54.71075951,-127.1382825,811.0502317,1
MID,9,3,7,1.9,-12.9,565,247,54.199481,-125.002,670,3.2,-9.7,463,195,518,54.71075951,-127.1382825,839.1289241,1
MID,9,4,8,1.9,-12.9,565,247,54.199481,-125.002,670,3.2,-9.7,463,195,518,54.71075951,-127.1382825,852.7564627,1
MID,9,3,5,1.9,-12.9,565,247,54.199481,-125.002,670,3.2,-9.7,463,195,518,54.71075951,-127.1382825,878.6394089,1
MID,9,3,9,1.9,-12.9,565,247,54.199481,-125.002,670,3.2,-9.7,463,195,518,54.71075951,-127.1382825,880.5003175,1
MID,9,4,6,1.9,-12.9,565,247,54.199481,-125.002,670,3.2,-9.7,463,195,518,54.71075951,-127.1382825,821.5112277,1
MID,9,3,1,1.9,-12.9,565,247,54.199481,-125.002,670,3.2,-9.7,463,195,518,54.71075951,-127.1382825,883.3295381,1
MID,9,4,1,1.9,-12.9,565,247,54.199481,-125.002,670,3.2,-9.7,463,195,518,54.71075951,-127.1382825,891.7439744,1
MID,9,4,2,1.9,-12.9,565,247,54.199481,-125.002,670,3.2,-9.7,463,195,518,54.71075951,-127.1382825,780.3706866,1
MID,9,4,9,1.9,-12.9,565,247,54.199481,-125.002,670,3.2,-9.7,463,195,518,54.71075951,-127.1382825,834.1897011,1
MID,9,4,7,1.9,-12.9,565,247,54.199481,-125.002,670,3.2,-9.7,463,195,518,54.71075951,-127.1382825,911.2661417,1
MID,11,4,8,1.9,-12.9,565,247,54.199481,-125.002,670,-1.6,-21.8,471,288,396,59.82882437,-122.1212635,805.1447354,1
MID,11,4,4,1.9,-12.9,565,247,54.199481,-125.002,670,-1.6,-21.8,471,288,396,59.82882437,-122.1212635,862.3795014,1
MID,11,4,6,1.9,-12.9,565,247,54.199481,-125.002,670,-1.6,-21.8,471,288,396,59.82882437,-122.1212635,828.1960412,1
MID,11,4,5,1.9,-12.9,565,247,54.199481,-125.002,670,-1.6,-21.8,471,288,396,59.82882437,-122.1212635,808.0001402,1
MID,11,4,9,1.9,-12.9,565,247,54.199481,-125.002,670,-1.6,-21.8,471,288,396,59.82882437,-122.1212635,821.5108093,1
MID,11,3,7,1.9,-12.9,565,247,54.199481,-125.002,670,-1.6,-21.8,471,288,396,59.82882437,-122.1212635,822.0349141,1
